0/2023,6:48:58,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
148390,6/30/2023,6:50:10,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
148391,6/30/2023,6:50:10,2,5,Lower Manhattan,63,0.8,Flavours,Regular syrup,Carmel syrup
148392,6/30/2023,6:51:12,1,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148393,6/30/2023,6:51:32,1,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg
148394,6/30/2023,6:53:40,2,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
148395,6/30/2023,6:53:40,1,8,Hell's Kitchen,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
148396,6/30/2023,6:54:59,1,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
148397,6/30/2023,6:55:58,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
148398,6/30/2023,6:56:11,1,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
148399,6/30/2023,6:56:21,1,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
148400,6/30/2023,6:57:20,3,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
148401,6/30/2023,6:58:57,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
148402,6/30/2023,6:59:40,2,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
148403,6/30/2023,6:59:40,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti
148404,6/30/2023,7:00:14,1,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
148405,6/30/2023,7:02:42,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
148406,6/30/2023,7:02:42,1,5,Lower Manhattan,20,7.6,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic
148407,6/30/2023,7:03:03,3,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
148408,6/30/2023,7:03:13,1,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
148409,6/30/2023,7:03:42,2,8,Hell's Kitchen,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
148410,6/30/2023,7:03:49,2,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148411,6/30/2023,7:04:51,2,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
148412,6/30/2023,7:05:07,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
148413,6/30/2023,7:05:53,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
148414,6/30/2023,7:06:22,2,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
148415,6/30/2023,7:06:46,2,8,Hell's Kitchen,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
148416,6/30/2023,7:06:53,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
148417,6/30/2023,7:07:33,1,3,Astoria,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
148418,6/30/2023,7:08:36,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
148419,6/30/2023,7:08:36,1,8,Hell's Kitchen,5,15,Coffee beans,Gourmet Beans,Columbian Medium Roast
148420,6/30/2023,7:09:42,1,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
148421,6/30/2023,7:09:42,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
148422,6/30/2023,7:09:47,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
148423,6/30/2023,7:11:00,2,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
148424,6/30/2023,7:11:59,1,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
148425,6/30/2023,7:12:13,1,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot
148426,6/30/2023,7:12:15,2,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
148427,6/30/2023,7:12:17,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
148428,6/30/2023,7:12:17,1,8,Hell's Kitchen,64,0.8,Flavours,Regular syrup,Hazelnut syrup
148429,6/30/2023,7:13:43,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
148430,6/30/2023,7:13:43,2,5,Lower Manhattan,63,0.8,Flavours,Regular syrup,Carmel syrup
148431,6/30/2023,7:13:45,1,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148432,6/30/2023,7:14:07,2,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
148433,6/30/2023,7:15:01,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
148434,6/30/2023,7:15:01,1,3,Astoria,73,3.75,Bakery,Pastry,Almond Croissant
148435,6/30/2023,7:15:07,1,3,Astoria,71,3.75,Bakery,Pastry,Chocolate Croissant
148436,6/30/2023,7:15:19,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
148437,6/30/2023,7:15:48,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
148438,6/30/2023,7:17:02,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
148439,6/30/2023,7:17:02,1,8,Hell's Kitchen,70,3.25,Bakery,Scone,Cranberry Scone
148440,6/30/2023,7:17:05,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
148441,6/30/2023,7:18:58,2,8,Hell's Kitchen,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
148442,6/30/2023,7:20:01,2,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
148443,6/30/2023,7:21:31,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
148444,6/30/2023,7:22:01,2,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
148445,6/30/2023,7:22:01,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
148446,6/30/2023,7:23:05,1,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
148447,6/30/2023,7:23:05,1,5,Lower Manhattan,63,0.8,Flavours,Regular syrup,Carmel syrup
148448,6/30/2023,7:23:05,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
148449,6/30/2023,7:23:22,2,3,Astoria,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
148450,6/30/2023,7:24:47,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
148451,6/30/2023,7:25:25,2,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
148452,6/30/2023,7:25:39,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148453,6/30/2023,7:26:50,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
148454,6/30/2023,7:26:50,2,5,Lower Manhattan,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
148455,6/30/2023,7:26:59,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant
148456,6/30/2023,7:27:17,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
148457,6/30/2023,7:27:17,1,8,Hell's Kitchen,84,0.8,Flavours,Regular syrup,Chocolate syrup
148458,6/30/2023,7:27:17,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
148459,6/30/2023,7:28:49,2,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
148460,6/30/2023,7:28:49,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti
148461,6/30/2023,7:29:02,1,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
148462,6/30/2023,7:29:03,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
148463,6/30/2023,7:30:45,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
148464,6/30/2023,7:30:45,1,5,Lower Manhattan,21,13.33,Packaged Chocolate,Drinking Chocolate,Chili Mayan
148465,6/30/2023,7:31:42,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
148466,6/30/2023,7:32:03,2,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
148467,6/30/2023,7:33:46,1,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
148468,6/30/2023,7:34:33,1,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
148469,6/30/2023,7:35:43,2,3,Astoria,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
148470,6/30/2023,7:37:20,2,3,Astoria,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
148471,6/30/2023,7:37:57,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
148472,6/30/2023,7:37:57,2,8,Hell's Kitchen,63,0.8,Flavours,Regular syrup,Carmel syrup
148473,6/30/2023,7:38:07,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
148474,6/30/2023,7:38:10,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
148475,6/30/2023,7:39:31,2,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
148476,6/30/2023,7:40:11,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
148477,6/30/2023,7:40:18,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
148478,6/30/2023,7:40:18,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone
148479,6/30/2023,7:40:57,2,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
148480,6/30/2023,7:41:21,1,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
148481,6/30/2023,7:41:25,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
148482,6/30/2023,7:42:42,2,5,Lower Manhattan,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
